Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
61087;Warren;IL;42.491388;-89.98979;-6;1;42.491388,-89.98979
10597;Waccabuc;NY;41.289162;-73.58834;-5;1;41.289162,-73.58834
62091;Walshville;IL;39.053344;-89.59324;-6;1;39.053344,-89.59324
53188;Waukesha;WI;43.020762;-88.26852;-6;1;43.020762,-88.26852
54980;Waukau;WI;43.987186;-88.77247;-6;1;43.987186,-88.77247
99149;Malden;WA;47.227436;-117.47364;-8;1;47.227436,-117.47364
20299;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
45895;Wapakoneta;OH;40.56914;-84.17288;-5;1;40.56914,-84.17288
98109;Seattle;WA;47.630648;-122.34675;-8;1;47.630648,-122.34675
98340;Hansville;WA;47.910628;-122.57489;-8;1;47.910628,-122.57489
98577;Raymond;WA;46.668744;-123.67708;-8;1;46.668744,-123.67708
04061;North Waterboro;ME;43.643195;-70.73033;-5;1;43.643195,-70.73033
98270;Marysville;WA;48.061269;-122.1588;-8;1;48.061269,-122.1588
98221;Anacortes;WA;48.495233999999996;-122.61976;-8;1;48.495234,-122.61976
98602;Appleton;WA;45.844123;-121.29141;-8;1;45.844123,-121.29141
99179;Uniontown;WA;46.516794;-117.08202;-8;1;46.516794,-117.08202
20060;Washington;DC;38.918011;-77.020398;-5;1;38.918011,-77.020398
98051;Ravensdale;WA;47.359414;-121.88657;-8;1;47.359414,-121.88657
98124;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98332;Gig Harbor;WA;47.364321;-122.60011;-8;1;47.364321,-122.60011
99122;Davenport;WA;47.671143;-118.18938;-8;1;47.671143,-118.18938
73860;Waynoka;OK;36.56306;-98.86623;-6;1;36.56306,-98.86623
56093;Waseca;MN;44.067673;-93.5103;-6;1;44.067673,-93.5103
46897;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
20508;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
31095;Warner Robins;GA;32.487403;-83.669655;-5;1;32.487403,-83.669655
01083;Warren;MA;42.20468;-72.20259;-5;1;42.20468,-72.20259
26447;Walkersville;WV;38.881069;-80.47432;-5;1;38.881069,-80.47432
46793;Waterloo;IN;41.441775;-85.01837;-5;0;41.441775,-85.01837
50704;Waterloo;IA;42.469768;-92.309475;-6;1;42.469768,-92.309475
92282;White Water;CA;33.941487;-116.64506;-8;1;33.941487,-116.64506
98363;Port Angeles;WA;48.102836;-123.63765;-8;1;48.102836,-123.63765
98403;Tacoma;WA;47.263971;-122.45879;-8;1;47.263971,-122.45879
98816;Chelan;WA;47.880774;-120.08379;-8;1;47.880774,-120.08379
99018;Latah;WA;47.277842;-117.13639;-8;1;47.277842,-117.13639
26448;Wallace;WV;39.407957;-80.48869;-5;1;39.407957,-80.48869
18660;Wapwallopen;PA;41.098371;-76.06397;-5;1;41.098371,-76.06397
20032;Washington;DC;38.836145;-77.00058;-5;1;38.836145,-77.00058
20398;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
19455;North Wales;PA;40.211896;-75.35586;-5;1;40.211896,-75.35586
98411;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
99119;Cusick;WA;48.504786;-117.31689;-8;1;48.504786,-117.31689
67672;Wa Keeney;KS;39.015522;-99.89944;-6;1;39.015522,-99.89944
44688;Waynesburg;OH;40.67926;-81.26003;-5;1;40.67926,-81.26003
98295;Sumas;WA;48.971298;-122.20146;-8;1;48.971298,-122.20146
98493;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
35180;Warrior;AL;33.82343;-86.81569;-6;1;33.82343,-86.81569
15488;Waltersburg;PA;39.976316;-79.768901;-5;1;39.976316,-79.768901
97761;Warm Springs;OR;44.814466;-121.32302;-8;1;44.814466,-121.32302
98638;Naselle;WA;46.370075;-123.76506;-8;1;46.370075,-123.76506
82335;Walcott;WY;41.804594;-106.78063;-7;1;41.804594,-106.78063
27373;Wallburg;NC;35.882943;-80.275963;-5;1;35.882943,-80.275963
98455;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
03608;Walpole;NH;43.075411;-72.41902;-5;1;43.075411,-72.41902
98664;Vancouver;WA;45.62104;-122.57947;-8;1;45.62104,-122.57947
99116;Coulee Dam;WA;47.995847;-118.95862;-8;1;47.995847,-118.95862
20594;Washington;DC;38.88494;-77.018372;-5;1;38.88494,-77.018372
98359;Olalla;WA;47.43025;-122.57159;-8;1;47.43025,-122.57159
99217;Spokane;WA;47.707542;-117.33776;-8;1;47.707542,-117.33776
98589;Tenino;WA;46.857968;-122.8326;-8;1;46.857968,-122.8326
48391;Walled Lake;MI;42.660091;-83.3863;-5;1;42.660091,-83.3863
18327;Delaware Water Gap;PA;40.982028;-75.14262;-5;1;40.982028,-75.14262
98052;Redmond;WA;47.677471;-122.12138;-8;1;47.677471,-122.12138
20226;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20578;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
07474;Wayne;NJ;41.011428;-74.304793;-5;1;41.011428,-74.304793
01378;Warwick;MA;42.667152;-72.32729;-5;1;42.667152,-72.32729
47169;Washington;IN;38.609733;-86.055202;-5;0;38.609733,-86.055202
82336;Wamsutter;WY;41.765078;-108.16076;-7;1;41.765078,-108.16076
96796;Waimea;HI;21.997746;-159.7187;-10;0;21.997746,-159.7187
19087;Wayne;PA;40.058808;-75.40069;-5;1;40.058808,-75.40069
98021;Bothell;WA;47.790653;-122.22021;-8;1;47.790653,-122.22021
98848;Quincy;WA;47.18227;-119.85868;-8;1;47.18227,-119.85868
98140;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99403;Clarkston;WA;46.400365;-117.08313;-8;1;46.400365,-117.08313
20431;Washington;DC;38.898618;-77.042753;-5;1;38.898618,-77.042753
33873;Wauchula;FL;27.541676;-81.8127;-5;1;27.541676,-81.8127
77484;Waller;TX;30.068888;-95.92499;-6;1;30.068888,-95.92499
20447;Washington;DC;38.884712;-77.025198;-5;1;38.884712,-77.025198
48089;Warren;MI;42.467086;-82.99866;-5;1;42.467086,-82.99866
46859;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
03278;Warner;NH;43.283838;-71.82537;-5;1;43.283838,-71.82537
01778;Wayland;MA;42.345583;-71.35643;-5;1;42.345583,-71.35643
98415;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
46898;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
98933;Harrah;WA;46.406875;-120.62421;-8;1;46.406875,-120.62421
04081;South Waterford;ME;44.566156;-70.661557;-5;1;44.566156,-70.661557
98240;Custer;WA;48.931679;-122.63256;-8;1;48.931679,-122.63256
98527;Bay Center;WA;46.630051;-123.95463;-8;1;46.630051,-123.95463
98042;Kent;WA;47.363382;-122.11451;-8;1;47.363382,-122.11451
98619;Glenwood;WA;46.018228;-121.28904;-8;1;46.018228,-121.28904
20424;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
74467;Wagoner;OK;35.961019;-95.3611;-6;1;35.961019,-95.3611
23337;Wallops Island;VA;37.931216;-75.47192;-5;1;37.931216,-75.47192
07470;Wayne;NJ;40.943608;-74.25004;-5;1;40.943608,-74.25004
98336;Glenoma;WA;46.53619;-122.11766;-8;1;46.53619,-122.11766
78959;Waelder;TX;29.697311;-97.29077;-6;1;29.697311,-97.29077
98346;Kingston;WA;47.807359;-122.51962;-8;1;47.807359,-122.51962
99206;Spokane;WA;47.646994;-117.25912;-8;1;47.646994,-117.25912
45786;Waterford;OH;39.526685;-81.66109;-5;1;39.526685,-81.66109
50661;North Washington;IA;43.117425;-92.414422;-6;1;43.117425,-92.414422
22980;Waynesboro;VA;38.076547;-78.89839;-5;1;38.076547,-78.89839
52352;Walker;IA;42.290421;-91.77461;-6;1;42.290421,-91.77461
54401;Wausau;WI;44.958382;-89.6693;-6;1;44.958382,-89.6693
06721;Waterbury;CT;41.365709;-72.927507;-5;1;41.365709,-72.927507
20546;Washington;DC;38.890976;-77.021092;-5;1;38.890976,-77.021092
98246;Bow;WA;48.558127;-121.417034;-8;1;48.558127,-121.417034
99211;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
99329;Dixie;WA;46.138753;-118.15325;-8;1;46.138753,-118.15325
58381;Warwick;ND;47.840223;-98.74895;-6;1;47.840223,-98.74895
05355;Wardsboro;VT;43.034152;-72.80748;-5;1;43.034152,-72.80748
02571;Wareham;MA;41.751554;-70.71059;-5;1;41.751554,-70.71059
20576;Washington;DC;38.893662;-77.023592;-5;1;38.893662,-77.023592
45068;Waynesville;OH;39.525562;-84.06923;-5;1;39.525562,-84.06923
98160;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98280;Orcas;WA;48.594255;-122.91828;-8;1;48.594255,-122.91828
99170;Rosalia;WA;47.240334;-117.37365;-8;1;47.240334,-117.37365
46857;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
99148;Loon Lake;WA;48.102048;-117.6013;-8;1;48.102048,-117.6013
98507;Olympia;WA;46.978118;-122.702393;-8;1;46.978118,-122.702393
35181;Watson;AL;33.544622;-86.929208;-6;1;33.544622,-86.929208
98293;Startup;WA;47.870275;-121.76849;-8;1;47.870275,-121.76849
98583;Satsop;WA;47.002178;-123.483596;-8;1;47.002178,-123.483596
98661;Vancouver;WA;45.63873;-122.62846;-8;1;45.63873,-122.62846
02477;Watertown;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
98357;Neah Bay;WA;48.35306;-124.64076;-8;1;48.35306,-124.64076
98107;Seattle;WA;47.66747;-122.37468;-8;1;47.66747,-122.37468
99130;Garfield;WA;46.983768;-117.19597;-8;1;46.983768,-117.19597
70786;Watson;LA;30.550219;-90.958219;-6;1;30.550219,-90.958219
99319;Desert Aire;WA;46.68039;-119.911288;-8;1;46.68039,-119.911288
39576;Waveland;MS;30.289646;-89.38349;-6;1;30.289646,-89.38349
20265;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
28693;Warrensville;NC;36.474746;-81.5371;-5;1;36.474746,-81.5371
65770;Walnut Grove;MO;37.410221;-93.54065;-6;1;37.410221,-93.54065
64496;Watson;MO;40.497797;-95.63121;-6;1;40.497797,-95.63121
46852;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
98045;North Bend;WA;47.483057;-121.73254;-8;1;47.483057,-121.73254
98065;Snoqualmie;WA;47.530639;-121.83053;-8;1;47.530639,-121.83053
98296;Snohomish;WA;47.846083;-122.11068;-8;1;47.846083,-122.11068
02576;West Wareham;MA;41.776042;-70.75783;-5;1;41.776042,-70.75783
53094;Watertown;WI;43.170606;-88.73058;-6;1;43.170606,-88.73058
20222;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
12586;Walden;NY;41.563701;-74.1755;-5;1;41.563701,-74.1755
20575;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
65587;Waynesville;MO;37.805756;-92.22218;-6;1;37.805756,-92.22218
84667;Wales;UT;39.458682;-111.67126;-7;1;39.458682,-111.67126
07069;Watchung;NJ;40.641207;-74.443695;-5;1;40.641207,-74.443695
71671;Warren;AR;33.608004;-92.08101;-6;1;33.608004,-92.08101
46806;Fort Wayne;IN;41.048148;-85.11114;-5;0;41.048148,-85.11114
37395;Watts Bar Dam;TN;35.61722;-84.928921;-5;1;35.61722,-84.928921
99347;Pomeroy;WA;46.447540000000004;-117.57295;-8;1;46.44754,-117.57295
98198;Seattle;WA;47.397521;-122.315;-8;1;47.397521,-122.315
20515;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
32694;Waldo;FL;29.789597;-82.1621;-5;1;29.789597,-82.1621
98860;Wilson Creek;WA;47.458634;-119.13921;-8;1;47.458634,-119.13921
98342;Indianola;WA;47.748780000000004;-122.53051;-8;1;47.74878,-122.53051
98635;Lyle;WA;45.726451;-121.19784;-8;1;45.726451,-121.19784
19034;Fort Washington;PA;40.13477;-75.20374;-5;1;40.13477,-75.20374
98858;Waterville;WA;47.63205;-119.90423;-8;1;47.63205,-119.90423
99011;Fairchild Air Force Base;WA;47.595572;-117.67344;-8;1;47.595572,-117.67344
98261;Lopez Island;WA;48.481655;-122.88271;-8;1;48.481655,-122.88271
98599;Olympia;WA;46.978118;-122.702393;-8;1;46.978118,-122.702393
67151;Walton;KS;38.13467;-97.25509;-6;1;38.13467,-97.25509
98228;Bellingham;WA;48.814753;-121.988548;-8;1;48.814753,-121.988548
20069;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
81089;Walsenburg;CO;37.621071;-104.80456;-7;1;37.621071,-104.80456
58577;Washburn;ND;47.302682;-101.04618;-6;1;47.302682,-101.04618
98235;Clearlake;WA;48.461672;-122.23308;-8;1;48.461672,-122.23308
20408;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
61570;Washburn;IL;40.920631;-89.29547;-6;1;40.920631,-89.29547
45690;Waverly;OH;39.123071;-83.0009;-5;1;39.123071,-83.0009
98244;Deming;WA;48.841442;-122.12547;-8;1;48.841442,-122.12547
99362;Walla Walla;OR;45.986775;-118.07919;-8;1;45.986775,-118.07919
98908;Yakima;WA;46.605303;-120.61762;-8;1;46.605303,-120.61762
46866;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
98126;Seattle;WA;47.54687;-122.3748;-8;1;47.54687,-122.3748
31831;Waverly Hall;GA;32.698622;-84.71552;-5;1;32.698622,-84.71552
20538;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
14571;Waterport;NY;43.34653;-78.25412;-5;1;43.34653,-78.25412
98392;Suquamish;WA;47.735065;-122.55751;-8;1;47.735065,-122.55751
20573;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
74477;Wagoner;OK;35.963567;-95.513856;-6;1;35.963567,-95.513856
83671;Warren;ID;45.273532;-115.69194;-7;1;45.273532,-115.69194
41096;Washington;KY;38.61225;-83.808021;-5;1;38.61225,-83.808021
44488;Warren;OH;41.317424;-80.761269;-5;1;41.317424,-80.761269
76797;Waco;TX;31.553646;-97.203166;-6;1;31.553646,-97.203166
99032;Sprague;WA;47.273264;-117.99082;-8;1;47.273264,-117.99082
20307;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
77874;Waller;TX;30.049881;-95.929015;-6;1;30.049881,-95.929015
62298;Waterloo;IL;38.325969;-90.14606;-6;1;38.325969,-90.14606
40489;Waynesburg;KY;37.351221;-84.62099;-5;1;37.351221,-84.62099
54402;Wausau;WI;44.900936;-89.7701;-6;1;44.900936,-89.7701
20015;Washington;DC;38.96516;-77.06737;-5;1;38.96516,-77.06737
98815;Cashmere;WA;47.522546;-120.48966;-8;1;47.522546,-120.48966
99201;Spokane;WA;47.663945;-117.43185;-8;1;47.663945,-117.43185
72958;Waldron;AR;34.907335;-94.13624;-6;1;34.907335,-94.13624
46869;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
98297;Waldron;WA;48.701835;-123.02636;-8;1;48.701835,-123.02636
98350;La Push;WA;47.905815;-124.62202;-8;1;47.905815,-124.62202
98538;Curtis;WA;46.483547;-123.1016;-8;1;46.483547,-123.1016
53074;Port Washington;WI;43.40181;-87.88001;-6;1;43.40181,-87.88001
99402;Asotin;WA;46.230508;-117.12916;-8;1;46.230508,-117.12916
63472;Wayland;MO;40.396289;-91.58325;-6;1;40.396289,-91.58325
46868;Fort Wayne;IN;41.093763;-85.070713;-5;0;41.093763,-85.070713
98903;Yakima;WA;46.550348;-120.62097;-8;1;46.550348,-120.62097
98930;Grandview;WA;46.260129;-119.90614;-8;1;46.260129,-119.90614
98556;Littlerock;WA;46.902376;-123.017043;-8;1;46.902376,-123.017043
98181;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
30830;Waynesboro;GA;33.080965;-81.9944;-5;1;33.080965,-81.9944
76957;Wall;TX;31.359844;-100.206705;-6;1;31.359844,-100.206705
92086;Warner Springs;CA;33.337152;-116.69355;-8;1;33.337152,-116.69355
98382;Sequim;WA;48.079979;-123.09916;-8;1;48.079979,-123.09916
08758;Waretown;NJ;39.784513;-74.22376;-5;1;39.784513,-74.22376
31094;Warthen;GA;33.125097;-82.81018;-5;1;33.125097,-82.81018
20407;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
99360;Touchet;WA;46.059286;-118.67264;-8;1;46.059286,-118.67264
97394;Waldport;OR;44.424255;-124.04868;-8;1;44.424255,-124.04868
98595;Westport;WA;46.887187;-124.10735;-8;1;46.887187,-124.10735
04284;Wayne;ME;44.349542;-70.05698;-5;1;44.349542,-70.05698
11054;Port Washington;NY;40.754757;-73.601772;-5;1;40.754757,-73.601772
98565;Napavine;WA;46.580105;-122.90699;-8;1;46.580105,-122.90699
02889;Warwick;RI;41.706814;-71.3911;-5;1;41.706814,-71.3911
20507;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
97490;Walton;OR;44.004968;-123.63206;-8;1;44.004968,-123.63206
02454;Waltham;MA;42.356719;-71.250479;-5;1;42.356719,-71.250479
55982;Waltham;MN;43.82009;-92.87749;-6;1;43.82009,-92.87749
20604;Waldorf;MD;38.509548;-76.981651;-5;1;38.509548,-76.981651
53197;Walworth;WI;42.566752;-88.56557;-6;1;42.566752,-88.56557
98009;Bellevue;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
20044;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20244;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
98434;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
23483;Wattsville;VA;37.943726;-75.502306;-5;1;37.943726,-75.502306
20221;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20543;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20211;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20470;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
06720;Waterbury;CT;41.365709;-72.927507;-5;1;41.365709,-72.927507
98151;Seattle;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
99213;Spokane;WA;47.656726;-117.282483;-8;1;47.656726,-117.282483
20394;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
19080;Wayne;PA;40.043201;-75.357678;-5;1;40.043201,-75.357678
20005;Washington;DC;38.904461;-77.03088;-5;1;38.904461,-77.03088
20390;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20412;Washington;DC;38.895261;-77.022098;-5;1;38.895261,-77.022098
55387;Waconia;MN;44.849912;-93.78514;-6;1;44.849912,-93.78514
31566;Waynesville;GA;31.144635;-81.83011;-5;1;31.144635,-81.83011
95986;Washington;CA;39.340422;-120.79166;-8;1;39.340422,-120.79166
06385;Waterford;CT;41.347948;-72.14762;-5;1;41.347948,-72.14762
66090;Wathena;KS;39.774356;-94.95873;-6;1;39.774356,-94.95873
58282;Walhalla;ND;48.915739;-97.92312;-6;1;48.915739,-97.92312
98413;Tacoma;WA;47.066193;-122.113223;-8;1;47.066193,-122.113223
20235;Washington;DC;38.915361;-77.057199;-5;1;38.915361,-77.057199
20451;Washington;DC;38.897711;-77.044449;-5;1;38.897711,-77.044449
98040;Mercer Island;WA;47.569271;-122.23233;-8;1;47.569271,-122.23233
98260;Langley;WA;48.030555;-122.44856;-8;1;48.030555,-122.44856
74468;Wainwright;OK;35.61546;-95.56851;-6;1;35.61546,-95.56851
20409;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
98813;Bridgeport;WA;47.999618;-119.66129;-8;1;47.999618,-119.66129
12588;Walker Valley;NY;41.878801;-74.345684;-5;1;41.878801,-74.345684
77597;Wallisville;TX;29.843158;-94.70376;-6;1;29.843158,-94.70376
98606;Brush Prairie;WA;45.73451;-122.48034;-8;1;45.73451,-122.48034
65583;Waynesville;MO;37.820367;-92.19165;-6;1;37.820367,-92.19165
47162;New Washington;IN;38.548693;-85.49124;-5;1;38.548693,-85.49124
07969;Watchung;NJ;40.631652;-74.454547;-5;1;40.631652,-74.454547
46809;Fort Wayne;IN;41.023147;-85.1826;-5;0;41.023147,-85.1826
56295;Watson;MN;45.024344;-95.82794;-6;1;45.024344,-95.82794
03280;Washington;NH;43.173046;-72.09755;-5;1;43.173046,-72.09755
99326;Connell;WA;46.675704;-118.8823;-8;1;46.675704,-118.8823
20047;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
43160;Washington Court House;OH;39.533002;-83.43905;-5;1;39.533002,-83.43905
46992;Wabash;IN;40.795068;-85.82953;-5;0;40.795068,-85.82953
98822;Entiat;WA;47.782158;-120.35944;-8;1;47.782158,-120.35944
